date,Ayam_Potong
2024-01-01,0.0
2024-01-02,23.12
2024-01-03,12.76
2024-01-04,37.04
2024-01-05,53.675
2024-01-06,22.61
2024-01-07,33.78
2024-01-08,13.49
2024-01-09,49.16
2024-01-10,32.86
2024-01-11,15.059999999999999
2024-01-12,11.379999999999999
2024-01-13,35.13
2024-01-14,16.8
2024-01-15,11.4
2024-01-16,8.6
2024-01-17,12.5
2024-01-18,5.85
2024-01-19,50.09
2024-01-20,38.3
2024-01-21,21.1
2024-01-22,15.3
2024-01-23,11.8
2024-01-24,11.55
2024-01-25,7.3
2024-01-26,8.8
2024-01-27,10.549999999999999
2024-01-28,23.65
2024-01-29,11.8
2024-01-30,14.2
2024-01-31,2.0
2024-02-01,38.03
2024-02-02,11.35
2024-02-03,35.16
2024-02-04,53.675
2024-02-05,4.6
2024-02-06,26.0
2024-02-07,37.7
2024-02-08,7.7
2024-02-09,30.38
2024-02-10,16.48
2024-02-11,11.440000000000001
2024-02-12,33.03
2024-02-13,16.919999999999998
2024-02-14,0.0
2024-02-15,28.36
2024-02-16,19.18
2024-02-17,21.85
2024-02-18,18.2
2024-02-19,6.9399999999999995
2024-02-20,30.77
2024-02-21,7.1
2024-02-22,26.84
2024-02-23,45.66
2024-02-24,16.7
2024-02-25,28.2
2024-02-26,18.04
2024-02-27,53.675
2024-02-28,29.17
2024-02-29,53.18
2024-03-01,48.98
2024-03-02,34.08
2024-03-03,25.0
2024-03-04,30.9
2024-03-05,4.62
2024-03-06,30.39
2024-03-07,53.675
2024-03-08,18.990000000000002
2024-03-09,53.675
2024-03-10,53.675
2024-03-11,51.37
2024-03-12,0.0
2024-03-13,3.3
2024-03-14,29.299999999999997
2024-03-15,24.72
2024-03-16,16.68
2024-03-17,32.43
2024-03-18,18.479999999999997
2024-03-19,44.17
2024-03-20,19.57
2024-03-21,28.450000000000003
2024-03-22,23.130000000000003
2024-03-23,28.310000000000002
2024-03-24,2.7
2024-03-25,34.76
2024-03-26,53.675
2024-03-27,28.9
2024-03-28,10.99
2024-03-29,5.5
2024-03-30,14.8
2024-03-31,34.73
2024-04-01,18.32
2024-04-02,22.15
2024-04-03,18.61
2024-04-04,25.68
2024-04-05,21.65
2024-04-06,36.08
2024-04-07,18.85
2024-04-08,16.560000000000002
2024-04-09,16.57
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,3.1
2024-04-16,11.9
2024-04-17,20.19
2024-04-18,24.86
2024-04-19,7.5
2024-04-20,31.29
2024-04-21,23.770000000000003
2024-04-22,14.07
2024-04-23,14.87
2024-04-24,31.94
2024-04-25,53.675
2024-04-26,12.31
2024-04-27,36.93
2024-04-28,3.2
2024-04-29,16.5
2024-04-30,45.69
2024-05-01,9.5
2024-05-02,24.64
2024-05-03,41.05
2024-05-04,51.92
2024-05-05,34.269999999999996
2024-05-06,10.870000000000001
2024-05-07,33.15
2024-05-08,33.85
2024-05-09,35.519999999999996
2024-05-10,34.71
2024-05-11,18.5
2024-05-12,38.23
2024-05-13,24.68
2024-05-14,34.09
2024-05-15,26.37
2024-05-16,53.675
2024-05-17,13.26
2024-05-18,1.5
2024-05-19,53.675
2024-05-20,43.95
2024-05-21,36.55
2024-05-22,9.36
2024-05-23,27.759999999999998
2024-05-24,19.4
2024-05-25,31.67
2024-05-26,8.82
2024-05-27,24.1
2024-05-28,4.65
2024-05-29,20.38
2024-05-30,39.64
2024-05-31,36.43
2024-06-01,47.51
2024-06-02,53.675
2024-06-03,48.870000000000005
2024-06-04,46.23
2024-06-05,53.675
2024-06-06,35.03
2024-06-07,48.230000000000004
2024-06-08,40.28
2024-06-09,17.439999999999998
2024-06-10,16.48
2024-06-11,42.49
2024-06-12,32.120000000000005
2024-06-13,14.4
2024-06-14,50.29
2024-06-15,12.799999999999999
2024-06-16,35.65
2024-06-17,0.0
2024-06-18,14.809999999999999
2024-06-19,49.93
2024-06-20,33.61
2024-06-21,31.310000000000002
2024-06-22,36.4
2024-06-23,20.740000000000002
2024-06-24,36.06
2024-06-25,8.809999999999999
2024-06-26,37.53
2024-06-27,53.59
2024-06-28,45.370000000000005
2024-06-29,12.71
2024-06-30,41.15
2024-07-01,23.9
2024-07-02,14.0
2024-07-03,16.6
2024-07-04,18.0
2024-07-05,22.0
2024-07-06,15.9
2024-07-07,28.400000000000002
2024-07-08,17.2
2024-07-09,25.8
2024-07-10,13.2
2024-07-11,13.899999999999999
2024-07-12,5.5
2024-07-13,17.2
2024-07-14,18.8
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,18.4
2024-07-18,19.1
2024-07-19,22.5
2024-07-20,5.4
2024-07-21,17.1
2024-07-22,36.3
2024-07-23,17.5
2024-07-24,17.5
2024-07-25,19.8
2024-07-26,24.900000000000002
2024-07-27,33.6
2024-07-28,14.0
2024-07-29,20.3
2024-07-30,25.8
2024-07-31,26.7
2024-08-01,6.3
2024-08-02,20.3
2024-08-03,19.6
2024-08-04,14.399999999999999
2024-08-05,20.9
2024-08-06,23.8
2024-08-07,26.099999999999998
2024-08-08,10.7
2024-08-09,27.0
2024-08-10,22.0
2024-08-11,20.3
2024-08-12,7.6
2024-08-13,9.600000000000001
2024-08-14,21.9
2024-08-15,8.7
2024-08-16,22.9
2024-08-17,0.0
2024-08-18,12.8
2024-08-19,31.9
2024-08-20,18.8
2024-08-21,15.299999999999999
2024-08-22,15.8
2024-08-23,14.7
2024-08-24,17.6
2024-08-25,21.1
2024-08-26,3.7
2024-08-27,53.675
2024-08-28,15.1
2024-08-29,13.0
2024-08-30,31.4
2024-08-31,17.7
2024-09-01,16.9
2024-09-02,18.4
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,17.6
2024-09-07,19.900000000000002
2024-09-08,33.5
2024-09-09,8.1
2024-09-10,18.3
2024-09-11,9.5
2024-09-12,25.3
2024-09-13,30.0
2024-09-14,32.0
2024-09-15,27.5
2024-09-16,15.5
2024-09-17,18.8
2024-09-18,18.0
2024-09-19,17.1
2024-09-20,8.7
2024-09-21,11.3
2024-09-22,29.700000000000003
2024-09-23,25.7
2024-09-24,14.9
2024-09-25,11.8
2024-09-26,15.8
2024-09-27,23.3
2024-09-28,34.7
2024-09-29,15.9
2024-09-30,33.5
2024-10-01,16.0
2024-10-02,16.1
2024-10-03,18.0
2024-10-04,13.7
2024-10-05,10.8
2024-10-06,26.7
2024-10-07,9.200000000000001
2024-10-08,17.2
2024-10-09,27.200000000000003
2024-10-10,30.8
2024-10-11,9.7
2024-10-12,8.2
2024-10-13,15.0
2024-10-14,20.3
2024-10-15,16.7
2024-10-16,10.4
2024-10-17,9.7
2024-10-18,15.7
2024-10-19,12.0
2024-10-20,21.9
2024-10-21,13.5
2024-10-22,13.2
2024-10-23,11.0
2024-10-24,20.8
2024-10-25,20.1
2024-10-26,15.6
2024-10-27,13.0
2024-10-28,11.3
2024-10-29,53.675
2024-10-30,19.7
2024-10-31,20.7
2024-11-01,22.5
2024-11-02,26.3
2024-11-03,33.1
2024-11-04,17.8
2024-11-05,18.5
2024-11-06,24.8
2024-11-07,25.6
2024-11-08,19.2
2024-11-09,10.3
2024-11-10,16.3
2024-11-11,9.7
2024-11-12,12.9
2024-11-13,29.2
2024-11-14,19.4
2024-11-15,23.6
2024-11-16,14.899999999999999
2024-11-17,29.7
2024-11-18,31.0
2024-11-19,34.699999999999996
2024-11-20,26.2
2024-11-21,8.3
2024-11-22,0.0
2024-11-23,19.6
2024-11-24,10.7
2024-11-25,15.2
2024-11-26,18.7
2024-11-27,27.4
2024-11-28,8.3
2024-11-29,23.4
2024-11-30,15.399999999999999
2024-12-01,23.9
2024-12-02,14.0
2024-12-03,18.900000000000002
2024-12-04,17.8
2024-12-05,20.9
2024-12-06,18.5
2024-12-07,16.2
2024-12-08,6.0
2024-12-09,18.7
2024-12-10,20.0
2024-12-11,11.3
2024-12-12,18.5
2024-12-13,16.2
2024-12-14,23.5
2024-12-15,19.8
2024-12-16,25.2
2024-12-17,18.4
2024-12-18,25.9
2024-12-19,28.0
2024-12-20,26.2
2024-12-21,27.7
2024-12-22,24.9
2024-12-23,24.3
2024-12-24,38.0
2024-12-25,24.8
2024-12-26,21.1
2024-12-27,14.7
2024-12-28,20.4
2024-12-29,21.8
2024-12-30,25.45
2024-12-31,24.95
